Percent_complete_for_all_immunizations,County
67.8,SNOHOMISH
40.5,CLARK
91.1,THURSTON
92.3,GRAYS HARBOR
96.9,CHELAN
83,KING
78.3,SNOHOMISH
89.6,KING
82.4,SNOHOMISH
98.1,KING
87.3,PIERCE
99,SNOHOMISH
81.9,WHATCOM
85.9,YAKIMA
90.5,SPOKANE
93.9,SPOKANE
82.7,KING
98.1,YAKIMA
90.1,KING
91.2,LEWIS
94.9,YAKIMA
84.6,SNOHOMISH
78.9,KING
89.5,KING
92.8,KING
100,KING
82.1,WHATCOM
89.7,SNOHOMISH
7.2,PIERCE
81.8,WHATCOM
89.3,KING
86.4,CLARK
86.1,SPOKANE
97.7,PIERCE
100,PIERCE
95.4,SNOHOMISH
91.5,SKAGIT
90.6,GRANT
90.7,LINCOLN
90.1,KING
93.8,KITSAP
41.2,OKANOGAN
91.3,KING
83,CLARK
100,KING
97.2,BENTON
89.8,SKAGIT
84,SKAGIT
78.8,PIERCE
98.1,PIERCE
91.1,PIERCE
92.7,KING
91.5,LEWIS
91.9,KING
97.2,YAKIMA
90.9,KING
87.4,KING
86.9,KING
92,SPOKANE
97.9,SNOHOMISH
100,KING
89.9,KING
89.4,SPOKANE
97,PIERCE
90.3,SNOHOMISH
89.1,KITSAP
91.7,KING
92.8,KING
93.7,PIERCE
88.7,KING
90.1,YAKIMA
93,ASOTIN
92.3,ASOTIN
86.1,THURSTON
89.1,WHATCOM
96.9,WALLA WALLA
88.7,SPOKANE
97.4,KING
93.4,KING
93.5,KING
94.9,KING
93.2,KING
91.9,SPOKANE
92.4,KING
75,THURSTON
96.1,PIERCE
84.1,KING
96.2,BENTON
90.2,KING
95.1,KITSAP
90.5,PIERCE
81,WHATCOM
93.1,SPOKANE
79.5,KING
93.5,PIERCE
99.1,FRANKLIN
99.4,YAKIMA
90.5,SPOKANE
95.6,COWLITZ
97.3,FRANKLIN
89.1,CLARK
90.7,SKAGIT
53.6,ISLAND
60,WHATCOM
94.7,PIERCE
82.4,GRAYS HARBOR
96.6,COWLITZ
83.9,KING
93.2,KING
97.2,KING
73.5,CHELAN
94,MASON
85.3,KING
98.9,PIERCE
73.5,KING
89,KING
95.8,KING
89.2,KING
95.2,KING
75.6,WHATCOM
91.3,WHATCOM
93.3,SPOKANE
64.3,ADAMS
92.4,CLARK
91.6,KING
93.1,KING
95.6,WALLA WALLA
88.2,KING
76.8,PEND OREILLE
97.3,KITSAP
96.7,PIERCE
78.8,PIERCE
92.6,SNOHOMISH
97.2,BENTON
92.5,SPOKANE
91.8,SNOHOMISH
98.4,KING
100,KLICKITAT
88.3,SKAGIT
66.7,COWLITZ
